[02:41:44] [main/INFO]: Loading Minecraft 1.20.1 with Fabric Loader 0.16.3
[02:41:44] [main/INFO]: Loading 4 mods:
	- fabricloader 0.16.3
	   \-- mixinextras 0.4.1
	- java 17
	- minecraft 1.20.1
[02:41:44] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=file:/workspaces/supreme-eureka/servidor_minecraft/libraries/net/fabricmc/sponge-mixin/0.15.2+mixin.0.8.7/sponge-mixin-0.15.2+mixin.0.8.7.jar Service=Knot/Fabric Env=SERVER
[02:41:53] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[02:41:56] [main/INFO]: Loaded 7 recipes
[02:41:57] [main/INFO]: Loaded 1271 advancements
[02:41:57] [Server thread/INFO]: Starting minecraft server version 1.20.1
[02:41:57] [Server thread/INFO]: Loading properties
[02:41:57] [Server thread/INFO]: Default game type: SURVIVAL
[02:41:57] [Server thread/INFO]: Generating keypair
[02:41:58] [Server thread/INFO]: Starting Minecraft server on *:25565
[02:41:58] [Server thread/INFO]: Using epoll channel type
[02:41:58] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[02:41:58] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[02:41:58] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[02:41:58] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[02:41:58] [Server thread/INFO]: Preparing level "world"
[02:42:09] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[02:42:11] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:11] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:11] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:11] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:11] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:11] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:13] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:13] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:15] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:15] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:16] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:16] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:17] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:17] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:18] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:18] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:19] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:19] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:20] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:20] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:21] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:21] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:23] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:23] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:23] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:23] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:24] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:24] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:25] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:25] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:26] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:26] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:27] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:27] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:28] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:28] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:30] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:30] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:31] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:31] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:32] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:32] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:33] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:33] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:34] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:34] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:35] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:35] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:36] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:36] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:37] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:37] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:39] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:42:39] [Worker-Main-1/INFO]: Preparing spawn area: 0%
